budget,domain,scaffold,evaluations_per_fit,seeds,equation_id,metric,verdict,observed_difference,ci_low,ci_high,margin,power,overall_verdict,degenerate,identical_rate
medium,,,3600,20,snells_law,symbolic_complexity,HARMFUL,-42.25,-71.3,-23.2,2.0,0.0,HARMFUL,True,0.1
medium,,,3600,20,snells_law,exact_recovery,INCONCLUSIVE,-0.15,-0.4,0.1,0.1,0.0,HARMFUL,True,0.1
medium,,,3600,20,shm_period,rmse,INCONCLUSIVE,-0.3681309316735687,-0.8554903547390467,0.24124910232316907,0.10018809255132657,0.0,INCONCLUSIVE,True,0.05
medium,,,3600,20,shm_period,symbolic_complexity,INCONCLUSIVE,-9.95,-44.35649982286544,24.6,2.0,0.0,INCONCLUSIVE,True,0.05
medium,,,3600,20,shm_period,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,True,0.05
medium,,,3600,20,ohms_law,rmse,NULL,-0.01666206360913136,-0.06664825443652544,0.0,10.356023288725595,1.0,INCONCLUSIVE,True,0.55
medium,,,3600,20,ohms_law,symbolic_complexity,INCONCLUSIVE,-6.8,-22.7,-1.8000000000000003,2.0,0.0,INCONCLUSIVE,True,0.55
medium,,,3600,20,ohms_law,exact_recovery,INCONCLUSIVE,-0.05,-0.2,0.0,0.1,0.21058606820008086,INCONCLUSIVE,True,0.55
large,,,10800,20,coulomb_force,rmse,INCONCLUSIVE,0.01445317416766953,-0.0032321744799649593,0.0307798992342505,0.005658116703171748,0.0,HARMFUL,True,0.0
large,,,10800,20,coulomb_force,symbolic_complexity,HARMFUL,-10.4,-16.85,-3.85,2.0,0.0,HARMFUL,True,0.0
large,,,10800,20,coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,HARMFUL,True,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,coulomb_force,rmse,INCONCLUSIVE,0.0017599988248282405,-0.01105915446554169,0.014742342477777616,0.005658116703171748,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,coulomb_force,symbolic_complexity,INCONCLUSIVE,2.45,-2.7,6.75,2.0,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,newton_gravitation,rmse,INCONCLUSIVE,-0.2284289124722942,-1.836073409206993,1.0479998376080357,1.5738506276986879,0.013754100554097315,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,newton_gravitation,symbolic_complexity,INCONCLUSIVE,14.0,-56.7,68.83908387876417,2.0,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,newton_gravitation,exact_recovery,INCONCLUSIVE,0.05,-0.25,0.35,0.1,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,ideal_gas_law,rmse,NULL,2.5127233657514068,-94.90138858426448,96.5096780905289,105.02996188888399,0.03285498752601557,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,ideal_gas_law,symbolic_complexity,INCONCLUSIVE,-40.8,-159.12587597958148,40.738028443553596,2.0,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,ideal_gas_law,exact_recovery,INCONCLUSIVE,-0.1,-0.35,0.2,0.1,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,kinetic_energy,rmse,NULL,7.357395522406731,-21.59668717456712,26.91548904363441,81.50033891580105,0.9988418903482608,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,kinetic_energy,symbolic_complexity,INCONCLUSIVE,37.9,-59.89999999999999,141.7,2.0,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,kinetic_energy,exact_recovery,INCONCLUSIVE,0.05,-0.1,0.2,0.1,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,relativistic_energy_momentum,rmse,NULL,-0.13530803989407073,-0.7801564947391519,0.388105473048874,2.271882186393613,0.9997573207917858,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,relativistic_energy_momentum,symbolic_complexity,INCONCLUSIVE,-13.2,-58.65,34.38043795415697,2.0,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,relativistic_energy_momentum,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,snells_law,rmse,INCONCLUSIVE,-0.055075316262220245,-0.10117709974086278,-0.01100811852023005,0.02004924176364653,0.0,INCONCLUSIVE,False,0.05
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,snells_law,symbolic_complexity,INCONCLUSIVE,4.0,-5.55,11.65,2.0,0.0,INCONCLUSIVE,False,0.05
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,snells_law,exact_recovery,INCONCLUSIVE,-0.25,-0.45,-0.05,0.1,0.0,INCONCLUSIVE,False,0.05
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,shm_period,rmse,INCONCLUSIVE,0.09882889959354942,-0.1333843059861182,0.6597262705180488,0.10018809255132657,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,shm_period,symbolic_complexity,INCONCLUSIVE,27.7,-7.2,60.53243368220328,2.0,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,shm_period,exact_recovery,INCONCLUSIVE,0.0,-0.1,0.1,0.1,0.0,INCONCLUSIVE,False,0.0
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,ohms_law,rmse,NULL,0.0,-0.0,-0.0,10.356023288725595,1.0,NULL,False,0.45
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,ohms_law,symbolic_complexity,NULL,0.0,-0.0,-0.0,2.0,1.0,NULL,False,0.45
postfix_medium,physics,plugins.physics.audit_adapter:DiscoveryAgentScaffold,10000,20,ohms_law,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,NULL,False,0.45
seam_synthetic,synthetic,plugins.physics.audit_adapter:DiscoveryAgentScaffold,250,4,synthetic_regression,rmse,NULL,-0.0028019701546018183,-0.008405910463805455,0.0,0.0825075469441813,0.9998896484467961,INCONCLUSIVE,True,0.5
seam_synthetic,synthetic,plugins.physics.audit_adapter:DiscoveryAgentScaffold,250,4,synthetic_regression,symbolic_complexity,INCONCLUSIVE,-8.25,-15.75,0.0,2.0,0.0,INCONCLUSIVE,True,0.5
seam_synthetic,synthetic,plugins.physics.audit_adapter:DiscoveryAgentScaffold,250,4,synthetic_regression,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,INCONCLUSIVE,True,0.5
