function,verdict,observed_difference,ci_low,ci_high,margin,power,n,ceiling,ceiling_upper,degenerate
rastrigin,CONTRIBUTES,17.72679209070488,16.10169868963577,19.434791322972323,2.0152125388018782,0.2345460133132009,60,0.0,0.0,False
ackley,HARMFUL,-1.381403221958893,-1.5354307005539147,-1.246845164597843,0.3058207953629793,0.9270618977128509,60,0.0,0.0,False
griewank,INCONCLUSIVE,-0.15257608171258513,-0.435567361045549,-0.058118367002811325,1e-09,0.0,20,0.0,0.0,True
