domain,problem,metric,ceiling,null_spread,seeds_measured,mde_at_measured_n,mde_at_20,mde_at_40,mde_at_100,mde_at_500,ceiling_over_mde,feasible,seeds_to_feasible
physics,boltzmann_factor,rmse,0.010702957736895845,0.0013525232692642027,20,0.0007519930389280868,0.0007519930389280868,0.0005317393772311296,0.00033630151072996955,0.00015039860778561737,14.23278831430695,True,20
physics,coulomb_force,rmse,0.05114460169274868,0.043169010551306716,20,0.024001653923230563,0.024001653923230563,0.016971732248809032,0.010733865948953612,0.004800330784646113,2.130878224322999,True,20
physics,rc_discharge,rmse,6.0216887385540385,13.32642773470232,20,7.409396287670637,7.409396287670637,5.239234359510339,3.3135827542932264,1.4818792575341273,0.8127097680784374,False,40
