function,stepsize,verdict,observed_difference,ci_low,ci_high,margin,power,n,ceiling,ceiling_upper,degenerate
rastrigin,0.5,CONTRIBUTES,18.569721615325456,17.532961811199353,19.631560452559853,1.8192800305174313,0.7779853557978169,119,0.0,0.0,False
ackley,3.2,HARMFUL,-0.8173581070442725,-0.9190442067226192,-0.6121965611436311,0.12761132822517388,0.0,246,0.0,0.0,False
griewank,58.59375,NULL,-1.5775858397404362e-11,-6.737999006698594e-11,4.032497235910871e-11,1e-09,1.0,20,0.0,0.0,False
