domain,problem,metric,ceiling,ceiling_sd,margin,ratio,reachable,metric_spread,spread_ratio,null_because,seeds,restarts
physics,rc_discharge,rmse,1.1333888508507333,3.4757243962676903,0.12209687804424403,9.282701318866065,True,0.8282197899666526,6.783300304095671,reachable,10,3
physics,boltzmann_factor,rmse,0.011166664919450958,0.006982581660957514,0.0013127013656863903,8.506630076987914,True,0.0063368266949533625,4.827317820028273,reachable,10,3
physics,coulomb_force,rmse,0.04657090238598881,0.03327973199682698,0.005658116703171748,8.23081333049966,True,0.025491276478880654,4.505258165599715,reachable,10,3
physics,thin_lens_equation,rmse,0.27949736534627556,0.10860411469230237,0.06880801693674436,4.061988381429728,True,0.15477777493147932,2.249414847600789,reachable,10,3
physics,coulomb_potential_energy,rmse,0.024363785546931454,0.016388846849048153,0.007733491414812045,3.1504251107419883,True,0.014480547352443234,1.872446295693621,reachable,10,3
physics,snells_law,rmse,0.04584946417163474,0.08189917838597974,0.02004924176364653,2.286842799949144,True,0.07736091443862188,3.8585456423042093,reachable,10,3
physics,newton_gravitation,rmse,3.2001637367414553,9.950796201612919,1.5738506276986879,2.033333837672252,True,4.564336058254975,2.900107531125128,reachable,10,3
physics,pendulum_small_angle_period,rmse,0.11846196411486169,0.07170720137131181,0.06327034123516007,1.8723142913765574,True,0.07782942362486697,1.2301091175657553,reachable,10,3
physics,shm_period,rmse,0.16115384976659905,0.22746501067396785,0.10018809255132657,1.6085130045173741,True,0.3429033737511198,3.422596089205408,reachable,10,3
physics,escape_velocity,rmse,0.16660639099779193,0.22776024030736314,0.12165203570690525,1.3695322896132593,True,0.41007146961645596,3.3708557956599767,reachable,10,3
physics,time_dilation,rmse,0.14437822537368677,0.2345679152053842,0.1581825938666439,0.9127314317238031,False,0.24490169213653235,1.5482214961211036,faithful,10,3
physics,gravitational_field_strength,rmse,0.15165892673722933,0.35262368221419993,0.58608946037066,0.25876412560177386,False,2.0300456372778135,3.4637129219043685,faithful,10,3
physics,ideal_gas_law,rmse,17.685584083747973,55.92672745506566,105.02996188888399,0.1683860849388707,False,564.8702574551576,5.378182066301802,faithful,10,3
physics,malus_law,rmse,0.07628322517691899,0.24122873882256501,1.1292271921993675,0.06755347878963494,False,5.480379764584647,4.853212712590324,faithful,10,3
physics,spring_potential_energy,rmse,0.10432345683692601,0.3298997369869513,1.7402239892007694,0.05994829256711863,False,5.671677823056376,3.259165405288546,faithful,10,3
physics,relativistic_energy_momentum,rmse,0.09142013497056509,0.289095850506996,2.271882186393613,0.04023982208148102,False,5.249112888943285,2.3104687911989528,faithful,10,3
physics,planck_spectral_radiance,rmse,0.0007389791072114488,0.0023368571220659384,13.678578646538748,5.402455374253679e-05,False,67.76871709446081,4.95436834817696,faithful,10,3
physics,angular_momentum,rmse,2.702790461393258e-14,5.6772647073495915e-14,43.58595989933491,6.201057559901303e-16,False,14.563747236172418,0.33413849941147333,tied,10,3
physics,kinetic_energy,rmse,0.0,0.0,81.50033891580105,0.0,False,169.05347830059344,2.074267181578773,faithful,10,3
physics,ohms_law,rmse,0.0,0.0,10.356023288725595,0.0,False,19.875549691510106,1.9192260520646218,faithful,10,3
physics,doppler_effect,rmse,0.0,0.0,26.50682588251675,0.0,False,43.787723401932396,1.6519414129782208,faithful,10,3
physics,gravitational_potential_energy,rmse,0.0,0.0,580.2566206927412,0.0,False,335.05723705007324,0.5774294081299135,faithful,10,3
physics,work_energy,rmse,0.0,0.0,51.86024387455116,0.0,False,194.6350874401225,3.7530692665260252,faithful,10,3
physics,momentum,rmse,0.0,0.0,23.101279138043125,0.0,False,26.699773435192213,1.155770348284442,faithful,10,3
physics,power_work_time,rmse,0.0,0.0,9.4181721223491,0.0,False,11.033555618052144,1.1715177292066874,faithful,10,3
physics,centripetal_force,rmse,0.0,0.0,69.5767511684798,0.0,False,205.2769983659078,2.9503676863099058,faithful,10,3
physics,projectile_range,rmse,0.0,0.0,3.057725666508753,0.0,False,13.21156629516452,4.320716681640445,faithful,10,3
physics,hookes_law_force,rmse,0.0,0.0,3.094329939304257,0.0,False,14.060409498596968,4.543927045400457,faithful,10,3
physics,bernoulli_dynamic_pressure,rmse,0.0,0.0,16964.960971023913,0.0,False,45592.648812650805,2.6874596935721144,faithful,10,3
physics,refractive_index_relation,rmse,0.0,0.0,0.025542810647920494,0.0,False,0.0074138068824363456,0.2902502384967538,tied,10,3
physics,torque,rmse,0.0,0.0,4.430462342115737,0.0,False,12.305323740527173,2.7774355790260143,faithful,10,3
physics,wave_frequency,rmse,0.0,0.0,32.31994746045862,0.0,False,0.0,0.0,tied,10,3
physics,capacitor_energy,rmse,0.0,0.0,452.3520228638747,0.0,False,608.9355222141855,1.3461540822984916,faithful,10,3
physics,inductor_energy,rmse,0.0,0.0,18.107598969426434,0.0,False,19.599663691966025,1.0823999208872943,faithful,10,3
physics,resistivity_resistance,rmse,0.0,0.0,16.297483273856813,0.0,False,40.75020260294883,2.5003984920982996,faithful,10,3
physics,specific_heat_energy,rmse,0.0,0.0,50.93260944920313,0.0,False,58.903727677597615,1.1565032366218024,faithful,10,3
