equation_id,metric,verdict,observed_difference,ci_low,ci_high,margin,power,n,higher_is_better
coulomb_force,rmse,INCONCLUSIVE,0.01445317416766953,-0.0032321744799649593,0.0307798992342505,0.005658116703171748,0.0,20,False
coulomb_force,symbolic_complexity,HARMFUL,-10.4,-16.85,-3.85,2.0,0.0,20,False
coulomb_force,exact_recovery,NULL,0.0,0.0,0.0,0.1,1.0,20,True
