Complexity,Loss,Equation
1,1243.6937,"356.8565"
3,1080.9435,"Year + -1654.3779"
5,985.33514,"(SST + Year) - 1674.5844"
7,967.6872,"SST + (-2679.5781 - (Year * -1.4996908))"
9,963.1688,"-2706.021 - (((Year - Season_Sin) * -1.5127963) - SST)"
10,960.2128,"-2706.021 - (((Year - cos(SST)) * -1.5127963) - SST)"
12,934.0538,"SST + (-3013.525 - ((Year - sin(SST * -0.25556248)) * -1.6656419))"
14,760.3205,"SST + (-3198.3486 - ((Year - (cos(SST * 0.17222029) * -13.583314)) * -1.760061))"
16,742.23456,"(-3198.6587 - ((Year - (cos(SST * 0.18710001) * (SST * -0.6980205))) * -1.7664642)) + 2.25084"
