ablation,bio,r2,rmse,frac_in_range
linear_phys,False,0.15988367795944214,46.28206500379628,
linear_bio,True,0.16085940599441528,46.25518076979999,
rf_phys,False,0.4261788813446935,38.249985123482325,0.9974673805020358
rf_bio,True,0.48396618667188207,36.272883967051776,0.997435322027378
hard_symbolic_phys,False,0.24151989368559157,43.97593721489594,
hard_symbolic_bio,True,0.2329397796793824,44.223971055708624,
ood_tropics,True,0.13768960915953765,28.03492551407233,
ood_mid_lat_n,True,0.3577710230573051,32.02994999101019,
ood_mid_lat_s,True,-0.07724101135384798,26.275737156410077,
ood_high_lat_n,True,0.4987365723098349,44.99132426654318,
ood_high_lat_s,True,0.32825945630346365,48.55814979927362,
