function,stepsize,verdict,observed_difference,ci_low,ci_high,margin,power,n,ceiling,ceiling_upper,degenerate
rastrigin,0.5,CONTRIBUTES,17.544387233689168,15.836384294520384,19.21922329573947,1.8442145732268478,0.07633484077621944,60,0.0,0.0,False
ackley,3.2,INCONCLUSIVE,-0.5166077986300522,-0.7779343690476288,0.13927046897028014,0.09288705790412173,0.0,60,0.0,0.0,False
griewank,58.59375,NULL,-1.090691092997531e-10,-1.999821822682282e-10,-4.621865754036922e-11,1e-09,0.9999999999999523,20,0.0,0.0,False
