domain,problem,metric,ceiling,ceiling_sd,margin,ratio,reachable,metric_spread,spread_ratio,null_because,seeds,restarts
physics,coulomb_force,rmse,0.05114460169274868,0.03739601898197873,0.005658116703171748,9.039156379379513,True,0.02815363682052931,4.975796417339243,reachable,10,3
physics,snells_law,rmse,0.0458452101023986,0.08183651661777555,0.02004924176364653,2.2866306188958005,True,0.07791300898477484,3.8860825712644864,reachable,10,3
physics,newton_gravitation,rmse,3.1517312935568835,9.96664946046852,1.5738506276986879,2.0025606230277395,True,4.590892522973574,2.91698109221868,reachable,10,3
physics,shm_period,rmse,0.12439098163435616,0.16104628046052083,0.10018809255132657,1.2415745071763933,True,0.3101457483842216,3.0956348253195185,reachable,10,3
physics,doppler_effect,rmse,1.080700885871193,3.417476268714651,26.50682588251675,0.04077066377774024,False,43.731294043254685,1.649812551569925,faithful,10,3
physics,relativistic_energy_momentum,rmse,0.09142013497056509,0.289095850506996,2.271882186393613,0.04023982208148102,False,5.23618943979914,2.3047803584001287,faithful,10,3
physics,ideal_gas_law,rmse,2.9278808489907306,9.258772200398216,105.02996188888399,0.027876624882414696,False,629.293098113165,5.991557902105335,faithful,10,3
physics,kinetic_energy,rmse,0.10545023657030406,0.3334629273657432,81.50033891580105,0.0012938625528814785,False,170.91160438360288,2.0970661798127446,faithful,10,3
physics,ohms_law,rmse,0.0,0.0,10.356023288725595,0.0,False,19.875549691510106,1.9192260520646218,faithful,10,3
physics,gravitational_potential_energy,rmse,0.0,0.0,580.2566206927412,0.0,False,356.90805128716386,0.615086564391231,faithful,10,3
physics,work_energy,rmse,0.0,0.0,51.86024387455116,0.0,False,194.6350874401225,3.7530692665260252,faithful,10,3
physics,planck_spectral_radiance,rmse,0.0,0.0,13.678578646538748,0.0,False,69.55659976480425,5.085075106279772,faithful,10,3
physics,momentum,rmse,0.0,0.0,23.101279138043125,0.0,False,26.699773435192213,1.155770348284442,faithful,10,3
physics,power_work_time,rmse,0.0,0.0,9.4181721223491,0.0,False,11.033555618052144,1.1715177292066874,faithful,10,3
physics,centripetal_force,rmse,0.0,0.0,69.5767511684798,0.0,False,224.15278922932117,3.2216621998709907,faithful,10,3
physics,projectile_range,rmse,0.0,0.0,3.057725666508753,0.0,False,13.550322859152505,4.4315037832102115,faithful,10,3
