domain,equation_id,metric,verdict,observed_difference,ci_low,ci_high,margin,power,n,higher_is_better
physics,rc_discharge,rmse,INCONCLUSIVE,-0.2610861127130165,-0.4896958145040642,-0.03312927335089017,0.12209687804424403,0.0,20,False
physics,rc_discharge,symbolic_complexity,INCONCLUSIVE,-10.9,-24.55,2.15,2.0,0.0,20,False
physics,rc_discharge,exact_recovery,INCONCLUSIVE,0.0,-0.11915783736096497,0.11915783736096497,0.1,0.0,20,True
physics,coulomb_force,rmse,CONTRIBUTES,0.04694012318966726,0.03395763321256376,0.059816671333778326,0.005658116703171748,0.0,20,False
physics,coulomb_force,symbolic_complexity,HARMFUL,-7.55,-9.85,-5.65,2.0,0.0,20,False
physics,coulomb_force,exact_recovery,INCONCLUSIVE,0.05,-0.07511572922901255,0.1960072367740162,0.1,0.21058606820008086,20,True
physics,boltzmann_factor,rmse,CONTRIBUTES,0.007801150042881494,0.005476024735971793,0.010160771808988018,0.0013127013656863903,0.0,20,False
physics,boltzmann_factor,symbolic_complexity,HARMFUL,-6.75,-8.85,-4.7,2.0,0.0,20,False
physics,boltzmann_factor,exact_recovery,INCONCLUSIVE,0.0,-0.11915783736096497,0.11915783736096497,0.1,0.0,20,True
